District Id1,Population
Central_Western,235953
Wan_Chai,166695
Eastern,529603
Southern,263278
Yau_Tsim_Mong,310647
Sham_Shui_Po,431090
Kowloon_City,410634
Wong_Tai_Sin,406802
Kwun_Tong,673166
Kwai_Tsing,495798
Tsuen_Wan,320094
Tuen_Mun,506879
Yuen_Long,668080
North,309631
Tai_Po,316470
Sha_Tin,692806
Sai_Kung,489037
Islands,185282
