Year,Overall Construction waste,Special Waste,Total
2000,7480,1090,8570
2001,6410,1110,7520
2002,10200,1540,11740
2003,6730,1590,8320
2004,6595,1620,8215
2005,6556,1746,8302
2006,4125,1635,5760
2007,3158,1559,4717
2008,3092,1391,4483
2009,3121,1243,4364
2010,3584,1119,4703
2011,3331,1131,4462
2012,3440,1127,4567
2013,3591,1173,4764
2014,3942,1135,5077
2015,4200,743,4943
2016,4422,565,4987
2017,4207,575,4782
2018,4081,587,4668
2019,3946,635,4581
2020,3418,513,3931
