Year,Quantity
2000,3417
2001,3395
2002,3439
2003,3446
2004,3399
2005,3423
2006,3387
2007,3352
2008,3302
2009,3271
2010,3327
2011,3283
2012,3396
2013,3485
2014,3570
2015,3708
2016,3786
2017,3918
2018,4171
2019,4036
2020,3956
