Year,MSW Recovered
2000,4810
2001,5320
2002,5370
2003,6510
2004,6298
2005,7108
2006,7783
2007,7702
2008,8587
2009,8716
2010,9872
2011,8272
2012,5909
2013,5503
2014,5625
2015,5569
2016,5225
2017,5015
2018,4870
2019,4491
2020,4201
